PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE
KORO JETTY,FJI,179.4265929,-17.35351583
MALAU,FJI,179.3695,-16.43276613
MALAI,FJI,179.366667,-16.35
PORT BERINGOVSKY,RUS,179.366667,63.066667
BERINGOVSKIY,RUS,179.3445,63.054734
SAVUSAVU,FJI,179.3333333,-16.76666618
SAVUSAVU BAY,FJI,179.333333,-16.766667
CONSTANTINE HARBOR,USA,179.3,51.4
FUNAFUTI,TUV,179.1897,-8.497666
FUNAFUTI ATOLL,TUV,179.133333,-8.516667
LEVUKA,FJI,178.8389,-17.68086613
UNKNOWN_2297,FJI,178.83,-17.68
NABOUWALU JETTY,FJI,178.6864852,-16.99411005
SUVA,FJI,178.427711,-18.12838
SUVA HARBOR,FJI,178.416667,-18.133333
GISBORNE,NZL,177.9893,-38.675866
VATIA,FJI,177.7643,-17.40566613
KISKA,USA,177.55,51.966667
ANADYR,RUS,177.5198975,64.7376709
NABUKERU,FJI,177.4649048,-16.84200481
LAUTOKA HARBOR,FJI,177.45,-17.6
LAUTOKA,FJI,177.4483,-17.60836613
WAIROA,NZL,177.4341,-39.048266
VUDA,FJI,177.3949,-17.68406613
ROTUMA,FJI,177.1293,-12.51486613
NAPIER,NZL,176.8919,-39.481166
MOUNT MAUNGANUI,NZL,176.1761,-37.638166
TAURANGA,NZL,176.1619,-37.694166
THAMES,NZL,175.5313,-37.141766
WANGANUI,NZL,175.0281,-39.950966
ONEHUNGA,NZL,174.8215,-36.933866
WELLINGTON,NZL,174.8073,-41.320166
AUCKLAND,NZL,174.7897,-36.865266
MANUKAU HARBOR,NZL,174.783333,-36.933333
PORTS OF AUCKLAND,NZL,174.7694935,-36.83638889
WAVERLEY HARBOUR,NZL,174.6365,-39.834566
MARSDEN POINT,NZL,174.3489,-35.750966
WHANGAREI,NZL,174.3305,-35.737266
OPUA,NZL,174.1155,-35.312666
BLENHEIM,NZL,174.0841,-41.652266
SKOOT COVE,USA,174.066667,52.716667
ALCAN HARBOR,USA,174.066667,52.733333
NEW PLYMOUTH,NZL,174.033333,-39.066667
PORT TARANAKI,NZL,174.0265,-39.060866
PICTON,NZL,174.0065,-41.293566
PORT MARLBOROUGH,NZL,174.004417,-41.28555556
DARGAVILLE,NZL,173.8631,-35.955366
WHANGAROA,NZL,173.766667,-35.05
KAIKOURA,NZL,173.6887,-42.405266
PORT NELSON,NZL,173.271967,-41.25972222
NELSON,NZL,173.266667,-41.266667
MASSACRE BAY,USA,173.233333,52.833333
MOTUEKA,NZL,173.0067,-41.099166
TARAWA,UMI,172.9803,1.328133868
AKAROA,NZL,172.966667,-43.8
AKAROA HARBOUR,NZL,172.9558304,-43.8075
TARAWA ATOLL,UMI,172.933333,1.333333
TARAKOHE,NZL,172.9,-40.85
TARAKOHE HARBOR,NZL,172.8911072,-40.82277778
LYTTELTON,NZL,172.7173,-43.603866
PORT LYTTELTON,NZL,172.716667,-43.6
CHRISTCHURCH,NZL,172.7057,-43.554766
COLLINGWOOD,NZL,172.666667,-40.683333
WESTPORT,NZL,171.6,-41.75
MAJURO ATOLL,MHL,171.383333,7.083333
MAJURO,MHL,171.376502,7.086383
PRIMEPORT TIMARU,NZL,171.2542403,-44.38916667
TIMARU,NZL,171.25,-44.4
TAROA,MHL,171.2339,8.715734
GREYMOUTH,NZL,171.216667,-42.433333
OAMARU,NZL,171.0069,-45.073966
PORT CHALMERS,NZL,170.6671,-45.762866
OTAGO HARBOR,NZL,170.633333,-45.816667
UNKNOWN_2921,NZL,170.63,-45.81
OTAGO HARBOUR,NZL,170.6249,-45.798266
DUNEDIN,NZL,170.5057,-45.884266
PEVEK,RUS,170.3231,69.694734
KAITANGATA,NZL,169.8333,-46.326366
ANELGAOHAT,VUT,169.774727,-20.248139
UNKNOWN_2161,MHL,169.65,5.91
LENAKEL,VUT,169.266065,-19.533103
FORARI BAY,VUT,168.548906,-17.682782
BLUFF,NZL,168.3549,-46.611066
INVERCARGILL,NZL,168.3409,-46.420866
BLUFF HARBOR,NZL,168.333333,-46.6
PORT VILA,VUT,168.3139038,-17.74090576
LOLTONG,VUT,168.1453395,-15.55001021
NORFOLK ISLAND,NFK,168.02771,-29.0480957
PORT SANDWICH,VUT,167.783846,-16.437501
KWAJALEIN,MHL,167.730379,8.719846
SOLA,VUT,167.5500393,-13.87103381
LITZLITZ,VUT,167.4438346,-16.1126945
SANTO,VUT,167.180549,-15.515105
LUGANVILLE,VUT,167.166667,-15.516667
UNKNOWN_1397,VUT,167.16,-15.51
NAURU ISLAND,NRU,166.9379,-0.534766
NAURU,NRU,166.93573,-0.54107666
DOUBTFUL SOUND,NZL,166.8605,-45.285066
MCMURDO STATION,ATA,166.65,-77.85
WAKE ISLAND,UMI,166.616667,19.283333
NOUMEA,NCL,166.4324951,-22.28320313
DUCOS,NCL,166.3959,-22.238266
PORT OF THIO,NCL,166.2377503,-21.61194444
THIALIS,NCL,166.2101,-21.599966
NIKOL SKOYE,RUS,165.983333,55.2
KOUAOUA,NCL,165.8283,-21.404766
BAIE DE KOUAOUA,NCL,165.816667,-21.383333
PORO,NCL,165.7109,-21.308266
BAIE UGUE,NCL,165.55,-21.15
NEPOUI,NCL,165.0001,-21.318766
LELE HARBOR,FSM,163.033333,5.333333
UTWA SMALL VESSEL,FSM,162.96862,5.27748
OKAT,FSM,162.95669,5.34762
ENITWETAK ISLAND,MHL,162.333333,11.333333
AMBARCHIK,RUS,162.316667,69.633333
PAKERA POINT,SLB,161.786045,-10.410375
AOLA BAY,SLB,160.484594,-9.531439
TULAGHI,SLB,160.15,-9.1
TULAGI,SLB,160.147326,-9.098806
HONIARA,SLB,159.95,-9.416667
YANDINA,SLB,159.216667,-9.083333
LORD HOWE IS,AUS,159.0881,-31.54356613
ALLARDYCE HARBOUR,SLB,158.6565,-7.787466132
PETROPAVLOVSK,RUS,158.65,53.05
POHNPEI (EX PONAPE),FSM,158.2091064,6.97052002
POHNPEI,FSM,158.201389,6.980556
POHNEPI HARBOR,FSM,158.2,6.983333
POHNPEI HARBOR,FSM,158.2,6.983333333
VIRU HARBOUR,SLB,157.7235,-8.505666132
NORO,SLB,157.2001,-8.212666132
PORT NORO,SLB,157.183333,-8.216667
RINGGI COVE,SLB,157.1,-8.116667
RINGI COVE,SLB,157.0969,-8.110866
GIZO HARBOR,SLB,156.85,-8.1
GIZO,SLB,156.8207,-8.081866
MALLOCO BAY,SLB,156.601399,-7.570678
CHOISEUL BAY,SLB,156.4077,-6.686666
SHORTLAND HARBOUR,SLB,155.8467,-7.082866
KIETA,PNG,155.6187,-6.212266132
ANEWAY BAY,PNG,155.5411,-6.193466132
PORT OF ANEWA BAY,PNG,155.5407538,-6.183333333
BUKA,PNG,154.6643,-5.435166132
QUEEN CAROLA HARBOR,PNG,154.55,-5.166667
BALLINA,AUS,153.566667,-28.866667
CLARENCE RIVER,AUS,153.3487,-29.40806613
YAMBA,AUS,153.2887,-29.43326613
CALOUNDRA HEAD,AUS,153.1565,-26.80806613
COFFS HARBOUR,AUS,153.1439,-30.30356613
PORT OF FISHERMAN ISLANDS,AUS,153.0717903,-27.44472222
TRIAL BAY,AUS,153.0575,-30.89176613
BRISBANE,AUS,153.033333,-27.466667
SOUTH WEST ROCKS,AUS,153.0141,-30.88236613
PORT MACQUARIE,AUS,152.9115,-31.43796613
PORT OF MARYBOROUGH,AUS,152.9060071,-25.295
URANGAN HARBOR,AUS,152.9058304,-25.295
MISIMA ISLAND,PNG,152.8343,-10.638166
URANGAN,AUS,152.8287,-25.25596613
SULOGA HARBOR,PNG,152.766667,-9.216667
NAMATANAI,PNG,152.4441,-3.661666
BUNDABERG,AUS,152.3677,-24.86076613
KOKOPO,PNG,152.266667,-4.333333
UNKNOWN_2812,PNG,152.23,-2
RABAUL,PNG,152.1611,-4.205066
WENO,FSM,151.83952,7.44478
MOEN,FSM,151.833333,7.433333
PORT OF CATHERINE HILL BAY,AUS,151.626384,-33.16
NEWCASTLE,AUS,151.6113,-32.97666613
GLADSTONE,AUS,151.2727,-23.84866613
BOTANY BAY,AUS,151.233333,-34
PORT BOTANY,AUS,151.2095406,-33.97305556
SYDNEY,AUS,151.2,-33.866667
BIALLA,PNG,151.0091532,-5.30783009
PORT KEMBLA,AUS,150.916667,-34.483333
PORT ALMA,AUS,150.8637,-23.58286613
JERVIS BAY,AUS,150.8,-35.116667
KAVIENG HARBOR,PNG,150.8,-2.583333
KAVIENG,PNG,150.7885,-2.582666
UNKNOWN_2372,RUS,150.7785034,59.55712891
UNKNOWN_2354,RUS,150.7785034,59.55712891
ARMAN,RUS,150.7717,59.561534
BUKHTA NAGAYEVA,RUS,150.716667,59.566667
BUKHTA NAGAYEVA (MAGADAN),RUS,150.7166667,59.56666667
SAMARAI,PNG,150.6531,-10.587666
ROCKHAMPTON,AUS,150.5475,-23.38146613
ALOTAU,PNG,150.4511,-10.308666
ALOTOA,PNG,150.45,-10.316667
BATEMANS BAY,AUS,150.166667,-35.7
KIMBE,PNG,150.1501,-5.549766132
TALASEA,PNG,150.0435,-5.338666
HAMBURG HARBOR,PNG,149.966667,-1.633333
EDEN,AUS,149.916667,-37.066667
UNKNOWN_2373,RUS,149.3328857,59.71490479
UNKNOWN_2358,RUS,149.3328857,59.71490478
TUFI,PNG,149.3147,-9.083666
HAY POINT,AUS,149.3,-21.283333
HAYPOINT,AUS,149.2729,-21.28166613
MACKAY SEAPORT,AUS,149.2237338,-21.10833333
MACKAY,AUS,149.1777,-21.14396613
GILAU,PNG,149.0419,-5.489166
ABAU,PNG,148.7531,-10.169166
ORO BAY,PNG,148.4869,-8.897566
BUNA,PNG,148.3991,-8.667766
BOWEN,AUS,148.2447,-20.02146613
PORT OF LADY BARRON,AUS,148.2393404,-40.21416667
ABBOT POINT,AUS,148.0749,-19.88786613
SPRING BAY,AUS,147.9559,-42.53666613
LORENGAU,PNG,147.3673,-2.046366
HOBART,AUS,147.333333,-42.883333
PORT OF RISDON,AUS,147.3079505,-42.82833333
PORT MORESBY,PNG,147.1503,-9.480666
LAUNCESTON,AUS,147.116667,-41.45
SALAMAUA,PNG,147.0405,-7.056066
PORT HUON,AUS,146.983333,-43.166667
LAE,PNG,146.9797,-6.734966
BELL BAY,AUS,146.8423,-41.18996613
PORT DALRYMPLE,AUS,146.833333,-41.133333
SHAKOTAN,JPN,146.833333,43.866667
TOWNSVILLE,AUS,146.8231,-19.26206613
BEAUTY POINT HARBOUR,AUS,146.8207303,-41.15444444
BEAUTY POINT,AUS,146.816667,-41.15
WELSHPOOL,AUS,146.466667,-38.7
DEVONPORT,AUS,146.366667,-41.183333
LUCINDA,AUS,146.3307,-18.53026613
ULVERSTONE,AUS,146.1819,-41.15486613
MOURILYAN HARBOUR,AUS,146.133333,-17.6
MOURILYAN,AUS,146.1255,-17.59886613
BURNIE,AUS,145.95,-41.05
MADANG,PNG,145.8041,-5.216766
CAIRNS SEAPORT,AUS,145.7755006,-16.92972222
CAIRNS,AUS,145.7673,-16.90426613
SAIPAN,MNP,145.683333,15.2
TINIAN,MNP,145.616667,14.966667
UNKNOWN_2148,MNP,145.61,14.96
HANASAKI KO,JPN,145.583333,43.283333
NEMURO KO,JPN,145.583333,43.333333
UNKNOWN_267,JPN,145.58,43.33
NEMURO,JPN,145.5757,43.327134
PORT LATTA,AUS,145.383333,-40.833333
CAPE FLATTERY,AUS,145.3521,-14.95466613
CAPE FLATTERY HARBOR,AUS,145.35,-14.95
STRAHAN,AUS,145.3273,-42.15806613
STANLEY,AUS,145.283333,-40.766667
COOKTOWN,AUS,145.2371,-15.46236613
WESTERN PORT,AUS,145.233333,-38.35
PORT OF HASTINGS,AUS,145.2230271,-38.30666667
WESTERNPORT,AUS,145.2157,-38.37076613
MELBOURNE,AUS,144.966667,-37.833333
AKKESHI,JPN,144.8621,43.034934
APRA,MNP,144.6797,13.44373387
APRA HARBOUR,MNP,144.6613159,13.42810059
APRA HARBOR,MNP,144.616667,13.45
KUMUL,PNG,144.566667,-8.1
KUMUL MARINE TERMINAL,PNG,144.4591873,-8.031944444
GEELONG,AUS,144.366667,-38.15
KUSHIRO KO,JPN,144.366667,42.983333
KUSHIRO,JPN,144.3637,42.967534
LONGAN ISLAND,PNG,144.3,-1.216667
ABASHIRI KO,JPN,144.2833333,44.01666667
ABASHIRI-KO,JPN,144.283333,44.016667
ABASHIRI,JPN,144.1231,44.016334
KING BAY,AUS,144.1055,-39.87046613
OTSU,JPN,143.6513,42.693434
WEWAK HARBOR,PNG,143.633333,-3.566667
WEWAK,PNG,143.6257,-3.560166
VITAZ MARINE TERMINAL,RUS,143.55,52.7
MONBETSU,JPN,143.3625,44.349334
MOMBETU KO,JPN,143.35,44.35
TOKACHI,JPN,143.3149,42.250134
DARU,PNG,143.2023,-9.068766
OKHOTSK IY REYD,RUS,143.2,59.366667
OKHOTSK,RUS,143.1811,59.347734
PORONAYSK,RUS,143.133333,49.216667
