PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE,Port Name Lower,Main Port Name,Country Code,Latitude,Longitude,_merge,lon diff,lat diff,position diff,Country Code 3
AABENRAA,DNK,9.427490234,55.04168701,aabenraa,,,,,left_only,3.2079902340000004,-7.431046860000002,10.639037094000003,
AALBORG,DNK,9.95285919,57.05171413,aalborg,,,,,left_only,0.5253689559999994,2.0100271200000037,2.535396076000003,
AALST,NLD,5.45,51.38333333,aalst,,,,,left_only,-4.521923827999999,-5.682340500000002,10.204264328,
AAMSHITE,LBN,35.6278,34.15203387,aamshite,,,,,left_only,30.1778,-17.231299460000002,47.40909946000001,
AARHUS,DNK,10.216666,56.15,aarhus,,,,,left_only,-25.411134,21.997966130000002,47.40910013,
AASIAAT,GRL,-52.866667,68.7,aasiaat,Aasiaat,Greenland,68.710833333,-52.868333333,both,-63.083332999999996,12.550000000000004,75.633333,GRL
ABADAN,IRN,48.2797,30.337534,abadan,Abadan,Iran,30.333333,48.283333,both,101.146367,-38.362466,139.50883299999998,IRN
ABASHIRI,JPN,144.1231,44.016334,abashiri,,,,,left_only,95.8434,13.678799999999999,109.5222,
ABASHIRI KO,JPN,144.2833333,44.01666667,abashiri ko,Abashiri Ko,Japan,44.016667,144.283333,both,0.1602333000000158,0.00033266999999881364,0.1605659700000146,JPN
ABAU,PNG,148.7531,-10.169166,abau,,,,,left_only,4.46976699999999,-54.185833,58.65559999999999,
ABBEVILLE,FRA,1.8365,50.104934,abbeville,,,,,left_only,-146.9166,60.274100000000004,207.1907,
ABBOT POINT,AUS,148.0749,-19.88786613,abbot point,,,,,left_only,146.2384,-69.99280013,216.23120013000002,
ABENRA,DNK,9.433333,55.05,abenra,Abenra,Denmark,55.05,9.433333,both,-138.641567,74.93786613,213.57943313,DNK
ABERDEEN,GBR,-2.08036005,57.1429486,aberdeen,Aberdeen,United States,46.983333,-123.816667,both,-11.513693049999999,2.0929485999999997,13.606641649999998,USA
ABIDJAN,CIV,-4.0218,5.332734,abidjan,Abidjan,Cote D'Ivoire,5.25,-4.016667,both,-1.947182803,-51.80948822,53.756671022999996,
ABU AL BUKHOOSH,ARE,53.1281,25.42853387,abu al bukhoosh,,,,,left_only,57.1499,20.09579987,77.24569987000001,
